Bis, The End Starts Today
Ebbb, Swarm
SIVIYEX, Sysix Rendezvous
Previous Industries, Braids
John Glacier, Poster
Cigar Cigarette, Probes
Ghostkeeper, Lipstick
Vegyn, Halo Flip (feat. Lauren Auder)
Yndling, After Ten
Tanukichan, City Bus
A Certain Ratio, Estate Kings
Seems Like Forever, Listen
Fallen, Discoloured Rainbows
Current Joys, always midnight
LCD Soundsystem, Someone Great
Class Actress, Someone Real
The Killers, Somebody Told Me
Sky Ferreira, Leash
Yelle, Comme un enfant
Television, Marquee Moon
New Order, The Perfect Kiss
Beck, The Horrible Fanfare / Landslide / Exoskeleton
Bruce Springsteen, Jungleland
Prince &amp; The Revolution, Purple Rain
Rod Stewart, Young Turks
Don Henley, The Boys Of Summer
Supertramp, Goodbye Stranger
Billy Joel, Scenes From An Italian Restaurant
Tom Petty &amp; The Heartbreakers, Here Comes My Girl
Bob Seger &amp; The Silver Bullet Band, Night Moves
Shawnee Kish, Favourite Gift
Bill Miller, Prayers From the Forest (Instrumental)
Serena Ryder, I Saw Daddy Kissing Santa Claus
Whitehorse, Merry Xmas, Baby
Mariee Siou, Christmas was Canceled in Bethlehem (Single)
Carsen Gray, Away in a Manger
Ernest Monias, Blue Christmas (Mixed)
Tall Paul, Prayers In A Song
Neon Nativez, Solstice (feat. Alex Rose Holiday)
Darlene Love &amp; Ronnie Spector, Rockin' Around the Christmas Tree
Serena Ryder, Christmas Kisses
William Prince, The Sound of Christmas
Carsen Gray, White Christmas
PIQSIQ, Coventry Carol
Beatrice Deer, Ulluriat Qaumavut Unnuami
The Ronettes, Sleigh Ride
Alexis Lynn, Christmas Cards
Dani and Lizzy, Snowed In
PIQSIQ, Dance of the Sugar Plum Fairy Remix
Desiree Dorion, Hillbilly Christmas
Navidad Boricua, Medley Parrandon
Los Lonely Boys, She'll Be My Everything for Christmas
William Prince, Silver Bells
Raye Zaragoza, Wintertime
Beatrice Deer, CHRISTMAS
Rhonda Head, Santa Baby (Nicimos)
Sihasin, Winter Wonderland
Anuhea, Oh Holy Night
Elder Oldhands, Stuck in the Smoke Hole of Our Tipi
Saltwater Hank, 'Yaak (LInk Wray Cover)
Whitehorse, 2000 Miles
Sinead O'Connor, Jackie
Squeeze, Take Me I'm Yours
Joe Jackson, Got the Time
Buzzcocks, Ever Fallen in Love-
The Church, Reptile
White Lung, Below
The Cure, Push
The Smiths, A Rush and a Push and the Land Is Ours
The Lemonheads, Bit Part
Ben Folds, You Don't Know Me (feat. Regina Spektor)
Albert Hammond Jr., In Transit
Gengahr, Heavenly Maybe
Franz Ferdinand, The Dark of the Matinée
Blood Red Shoes, It's Getting Boring by the Sea
Sprints, Little Fix
Honeyblood, Ready for the Magic
Parquet Courts, Borrowed Time
That 1 Guy, The Moon Is Disgusting
The Burning Hell, Amateur Rappers
Rubblebucket, Came Out of a Lady
Shit Robot, Take 'Em Up
San Cisco, Awkward (EP Version)
Gang of Four, I Love a Man In a Uniform
Billy Bragg, You Woke up My Neighbourhood
The Hives &amp; Cyndi Lauper, A Christmas Duel
Bloc Party, Helicopter
Idlewild, You Held the World In Your Arms
Inspiral Carpets, Two Worlds Collide (7 Mix)
New Order, 1963
Depeche Mode, Just Can't Get Enough
Pet Shop Boys, A Red Letter Day (Blutarski Sunflower Edit)
The Shamen, Move Any Mountain
Divide &amp; Kreate, Temperaturized
Kavinsky, Wayfarer
Rammstein, Du Hast
KMFDM, Juke Joint Jezebel (Single Mix)
Ministry, Jesus Built My Hotrod (Redline/Whiteline Version)
Daft Punk, Technologic (Basement Jaxx Kontrol Mixx)
Detroit Grand Pubahs, Sandwiches (Krafty Kuts Remix)
Depeche Mode, Just Can't Get Enough (Dirty South Mix)
Sarah McLachlan, Possession (Rabbit In the Moon Mix)
Funky Junction, Planet E2 (The White Label Mix) [feat. KC Flightt]
Funkstar De Luxe, Sun Is Shining (De Luxe Edit)
Don Omar &amp; Lucenzo, Danza Kuduro (feat. Lucenzo)
New Order, Blue Monday (12" Version)
Sebastian Böhm, Blue Monday
Orgy, Blue Monday
LCD Soundsystem, Tribulations
Kylie Minogue, Can't Get You Out Of My Head
Sam and the Womp, Bom Bom (Wookie Remix)
Tshegue, Muanapoto
Detroit Grand Pubahs, Sandwiches (Krafty Kuts Edit)
Rick James, Super Freak (12" Version)
Detroit Grand Pubahs, Sandwiches (Krafty Kuts Edit)
Peaches, Fuck The Pain Away
The B-52's, Love Shack
Peaches &amp; Herb, Shake Your Groove Thing
Grimes, Kill V. Maim
100 gecs, ringtone
AWOLNATION, MF
Genesis, I Can't Dance
Joubert Singers, Stand On the Word (Larry Levan Mix)
Spouse, Superman
The Flaming Lips, Waitin' for a Superman (Mokran Mix)
A Tribe Called Quest, Lyrics To Go
maura dot com, slash uncertain
Bruce Springsteen, Santa Claus Is Comin' To Town (Live)
Billy Squier, Christmas Is The Time To Say I Love You
Squeeze, Christmas Day
The Electric Mayhem, Little Saint Nick
The Raveonettes, The Christmas Song
Tuscadero, Holidays R' Hell
Fiona Apple, Frosty the Snowman
Holly Golightly, That’s What I Want For Christmas
L.A. Guns, Run Rudolph Run
Slade, Merry Xmas Everybody
Otis Redding, Merry Christmas Baby
Prince, Another Lonely Christmas
Lloyd, She's All I Want For Christmas
The Ronettes, Sleigh Ride
Robert Glasper, December (feat. Andra Day)
Johnny Gill, Give Love On Christmas Day
Force M.D.'s, This Christmas
Quad City DJ's, The 69 Boyz and K-Nock, What You Want for Christmas
Luscious Jackson, Let It Snow
Girl Ray, (I Wish I Were Giving You a Gift) This Christmas
Tracey Thorn, Snow in Sun
Peaness, Kiss Me Sweet Pea
Mew, She Came Home for Christmas
!!!, And Anyway It’s Christmas
Alphabeat, X-Mas (Let's Do It Again)
The Long Blondes, Christmas Is Cancelled
Cocteau Twins, Frosty The Snowman
John Denver &amp; The Muppets, Christmas Is Coming
maura dot com, Christmas (W)Rapping
Cristina, Things Fall Apart
Wham!, Last Christmas (Pudding Mix)
Al Green &amp; Annie Lennox, Put A Little Love In Your Heart
Cotton Candy, M-A-U-R-A
The Rolling Stones, Sympathy for the Devil
Cracker, Low
Cage the Elephant, In One Ear
The Burning Hell, Amateur Rappers
Kneecap, Guilty Conscience
Beastie Boys, Egg Man
Buzzcocks, What Do I Get?
The Smiths, A Rush and a Push and the Land Is Ours
The Smiths, These Things Take Time
Soho, Hippychick
Happy Mondays, Step On
B-52's, Topaz
Mansun, Wide Open Space
The Charlatans, The Only One I Know
sElf, Trunk Fulla Amps
CSS, Music Is My Hot, Hot Sex
Caroline Polachek, Welcome to My Island
Gorillaz, Cracker Island (feat. Thundercat)
Freezepop, Less Talk More Rokk
Shiny Toy Guns, Le Disko
Ladytron, Seventeen
Blur, Girls and Boys
Korine, Sunshine
Ministry, Work for Love
A Flock of Seagulls, Wishing (If I Had a Photograph of You)
Chapterhouse, Pearl (Edit)
Ride, Vapour Trail
Lush, For Love
Depeche Mode, New Life
B.B. King, Blacks Without Soul
Liquid Liquid, Cavern
Force M.D.'s, Tender Love
Janet Jackson, Let's Wait Awhile
Surface, Shower Me With Your Love
Ready For The World, Love You Down
Jazz Sabbath, Spiral Architect
Kool &amp; The Gang, Cherish
Stevie Wonder, I Just Called To Say I Love You
Smokey Robinson, Just To See Her
Lionel Richie, Ballerina Girl
Jazz Sabbath, Into The Void
Daryl Hall and John Oates, One on One
The Human League, Human
Sheena Easton, The Lover In Me
Phil Collins, Sussudio
Jazz Sabbath, Warning
The Jets, You Got It All
Klymaxx, I Miss You
DeBarge, Who's Holding Donna Now?
Lisa Lisa &amp; Cult Jam With Full Force, All Cried Out
Jazz Sabbath, Electric Funeral
LL Cool J, I Need Love
Bobby Brown, Rock Wit'cha [Quiet Storm Mix]
Atlantic Starr, Always
Gregory Abbott, Shake You Down
Jazz Sabbath, War Pigs
New Edition, Mr. Telephone Man
Al B. Sure!, Night and Day
Eugene Wilde, Don't Say No (Tonight)
Wham!, Careless Whisper
Jazz Sabbath, Supernaut
Don 'No Soul' Simmons, Close To You
maura dot com, slash uncertain
Enuff Z'Nuff, Happy Holiday
Bruce Springsteen, Santa Claus Is Comin' To Town (Live)
Billy Squier, Christmas Is The Time To Say I Love You
Squeeze, Christmas Day
The Electric Mayhem, Little Saint Nick
The Raveonettes, The Christmas Song
Tuscadero, Holidays R' Hell
Fiona Apple, Frosty the Snowman
Holly Golightly, That’s What I Want For Christmas
L.A. Guns, Run Rudolph Run
Slade, Merry Xmas Everybody
Otis Redding, Merry Christmas Baby
Prince, Another Lonely Christmas
Lloyd, She's All I Want For Christmas
The Ronettes, Sleigh Ride
Robert Glasper, December (feat. Andra Day)
Johnny Gill, Give Love On Christmas Day
Force M.D.'s, This Christmas
Quad City DJ's, The 69 Boyz and K-Nock, What You Want for Christmas
Luscious Jackson, Let It Snow
Girl Ray, (I Wish I Were Giving You a Gift) This Christmas
Tracey Thorn, Snow in Sun
Peaness, Kiss Me Sweet Pea
Mew, She Came Home for Christmas
!!!, And Anyway It’s Christmas
Alphabeat, X-Mas (Let's Do It Again)
The Long Blondes, Christmas Is Cancelled
Cocteau Twins, Frosty The Snowman
John Denver &amp; The Muppets, Christmas Is Coming
Bleachers, Merry Christmas, Please Don't Call
maura dot com, Christmas (W)Rapping
Cristina, Things Fall Apart
Wham!, Last Christmas (Pudding Mix)
Al Green &amp; Annie Lennox, Put A Little Love In Your Heart
Cotton Candy, M-A-U-R-A
Gregtronic, Greg Wymer
H.E.R., Christmas Time is Here
Sufjan Stevens, Joy to the World
Fiona Apple, Frosty the Snowman
Eva Cassidy, Fields of Gold (live)
The O'Pears, River
Jacqui Naylor, Father Christmas
Otis Redding, White Christmas
En Attendant Ana, Fairytale of New-York
Jherek Bischoff, The Chipmunk Song (Christmas Don't Be Late)
Blessing Offor, Wonderful Christmastime
Barenaked Ladies, Do They Know It's Christmas?
Hanson, What Christmas Means to Me
Dwight Yoakam &amp; Beth Anderson, Silver Bells
Big Bad Voodoo Daddy, Mr. Heatmiser
Tommee Proffitt &amp; Avril Lavigne, What Child is This?
Bob Rivers Comedy Corp, The Twelve Pains of Christmas
Wheatus, Christmas Dirtbag
1000 Ho-Ho DJs, (Every Day is) Xmas
Kibble, Warm Fireplace
Iced Shank, Yule Log
Bjorn Again, Underneath the Tree
Umphrey's McGee, Santa Oddity (live)
Harriet, Last Christmas (Can't Smile Without You)
John Dissed, Christmas With the Devil
Me First and The Gimme Gimmes, Santa Baby
Psychostick, Zombie Claus
Twisted Sister, Oh Come All Ye Faithful
Broken Peach, Jingle Bells Rock
The Linda Lindas, Rockin' Around the Christmas Tree
The Dollyrots, Run Run Rudolph
The Offspring, Christmas (Baby Please Come Home)
Earth, Wind &amp; Fire, December
Vince Guaraldi Trio, Christmas Is Coming
Frook, Reindeer Sweater
Harry Connick Jr, Sleigh Ride
Louis Armstrong, Cool Yule (feat. The Commanders)
Joshua Redman Brad Mehldau Christian McBride Brian Blade, Disco Ears
Horace Silver, Cool Eyes
Les Brown and His Orchestra, In My Merry Oldsmobile
SUPER SOFA, XMASEVERYDAY
Los Bitchos, Los Chrismos
The Flaming Lips, Christmas at the Zoo
Network the Narcotic, Legends Never Die
Pearl Jam, Let Me Sleep
Willie Nelson, Pretty Paper
Soul Coughing, Suzy Snowflake
Jimmy Smith, Jingle Bells
Jobii, Treat Yo' Elf
Adam Neely, God Rest Ye Merry Gentlemen 17TET
Khruangbin, Christmas Time Is Here (version Mary)
Vulfpeck feat. David T. Walker, Christmas. In L.A.
James Brown, Santa Claus Go Straight to the Ghetto
Lily Allen, Somewhere Only We Know
Laurence Nerbonne, Noël brille encore
Letterkenny, 3 Wise Men
Robert Charlebois, Marie-Noël
Zoe Sanders, La chute est douce
The Ramsey Lewis Trio, Snowfall
Sharon Jones &amp; the Dap‐Kings, 8 Days (Of Hanukkah)
Oscar Peterson, Let It Snow
Rotary Connection, Peace at Last
The Ramsey Lewis Trio, Here Comes Santa Claus
Money Mark, Stuck at the Airport
Lionel Hampton, Swingle Jingle
Decca Concert Orchestra conducted by Herbert Rehbein, Jingle Jingle Jingle
Carla Thomas, Gee Whiz, It's Christmas
Christmas.Vacation, Tylenol
David Bowie &amp; Bing Crosby, Peace on Earth / Little Drummer Boy
G. Love, Christmas Baby
moe., Linus and Lucy
meadowzz, silver bells (Lo-Fi)
Ella Fitzgerald, What Are You Doing New Years Eve? (Mangini vs. Pallin mix)
Harry Connick Jr, Auld Lang Syne
Robin Scott &amp; M, Pop Muzik
Hot Butter, Popcorn
Soft Cell, Tainted Love / Where Did Our Love Go
Thomas Dolby, She Blinded Me With Science
The Buggles, Video Killed The Radio Star
Orchestral Manoeuvres In The Dark, If You Leave
Naked Eyes, Always Something There To Remind Me
Modern English, I Melt with You
T'Pau, Heart and Soul
Howard Jones, Things Can Only Get Better
Relax, Frankie Goes To Hollywood
Rick Astley, Together Forever
Kajagoogoo, Too Shy
Erasure, Oh L'Amour
Pet Shop Boys, West End Girls
Billy Idol, White Wedding (Pts. 1 &amp; 2)
Guns 'N Roses, Sweet Child O' Mine
Ozzy Osbourne, Crazy Train
Stevie Nicks, Edge of Seventeen
Van Halen, Hot For Teacher
Rick Springfield, Jessie's Girl
EXTREME, More Than Words
Kenny Loggins, Danger Zone
Europe, The Final Countdown
Yuzo Koshiro &amp; Motohiro Kawashima, Disco
bless soundcloud, Busta Rhymes Goes to the Wii Shop Channel
Deftones, Be Quiet and Drive (Virtual Memory remix)
Burnt Skull, Sewer Birth
Astrometer, Quantum Divorce
Young Mountain, Cherry Knot
Chalk, Them
Another Heaven, Big Misery
IX of Swords, Fistfight
Pinky Lemon, Floodgate
Feeding Fingers, A Happy Lust for Alphabets
MX Lonely, Papercuts
Shon!, You and I (medic)
Raat, Dreams Alight
Buio Omega, Whole Lotta Buio
Bruised Core, Hark Back
Wretched Blessing, Psuedoascension
Beef, Hell or High Water
S.I. Istwa, In My Room
Rat Champion, Flame Princess
Trauma Glow, Ornaments
Chlorine, Feel
Polamine, Knees
Iress, Blush
White Flowers, You Caught Me
Nine Inch Nails, Into La Mer (The Primal Abuse mix)
Cynic, King of Those Who Know
Nasum, Closing In
Crowbar, Down Into the Rotting Earth
Strapping Young Lad, S.Y.L.
Akercocke, Enraptured By Evil
Today Is the Day, Sidewinder
Merciless, Lost Eternally
Stabwound, Moulding Through Sloth
Mariah, Yen Tricks
Boarcorpse, Vile Serum
X.Y.R., Calm In See
Grim Reaper, See You In Hell
Metallica, The Shortest Straw
Morbid Angel, I
Vehementor, Reaper
Sentenced, New Age Messiah
Benediction, The Grand Leveller
Iron Maiden, Die With Your Boots On
Death, Vacant Planets
Lecherous Nocturne, Adoration of the Blade
Condemned, Pestilential Reign
Gwar, Sick of You
Broken Hope, Auction of the Dead
Pestilence, The Trauma
Kane Roberts, If This Is Heaven
X.Y.R., Calm In See
Opeth, The Night and the Silent Water
Sex Pistols, Did You No Wrong
Bowling for Soup, Suckerpunch
Randy California, Day Tripper
The Allman Brothers Band, Trouble No More
Daryl Hall, Sacred Songs
Echobelly, Nobody Like You
The Faces, My Fault
Big Audio Dynamite, Mr. Walker Said
The Godfathers, Birth, School, Work, Death
Spoon, Do I Have to Talk You Into It
Hot Tuna, Santa Claus Retreat
The Jam, The Bitterest Pill (I Ever Had To Swallow)
The Move, Do Ya
Talking Heads, Thank You for Sending Me an Angel
Bis, Listen Up
John Mayall &amp; The Bluesbreakers, Another Man
Status Quo, Down the Dustpipe (7'')
The League of Gentlemen, Heptaparaparshinokh
The Knack, Heartbeat
The Muffs, Honeymoon
Surfer Blood, Neighbour Riffs
The Clash, Brand New Cadillac
X, Year 1
The Boomtown Rats, Mary of the 4th Form (Single Version)
Utopia, Love In Action
George Harrison, Wah-Wah (Live)
Crosby, Stills &amp; Nash, 49 Bye-Byes
David Bowie, Ziggy Stardust
David Bowie, Suffragette City
ZZ Top, Dreadmonboogaloo
Jeff Beck, Dirty Mind
Dire Straits, Heavy Fuel (VSC Back Off Mix)
Angelfish, Suffocate Me
Juliana Hatfield, Ok Ok
Joe Strummer &amp; The Mescaleros, Techno D-Day
The English Beat, March Of The Swivel Heads
Fishbone, Party At Ground Zero
The Mighty Mighty Bosstones, Hope I Never Lose My Wallet
Kid Creole &amp; The Coconuts, Stool Pigeon
Major Lazer, Light It Up (feat. Nyla &amp; Fuse ODG) [Remix]
Shakira, Whenever, Wherever
Rob Base &amp; DJ EZ Rock, Joy and Pain
Eddie Murphy, Party All The Time (+3 dB)
Madonna, Material Girl
Sia, Cheap Thrills (feat. Sean Paul)
a-ha, Take On Me
The Weeknd, Blinding Lights
Neil Norman, Buckaroo Banzai
Taylor Swift, You Belong With Me
Chromeo, Come Alive (feat. Toro Y Moi)
Peter Godwin, Images Of Heaven (Razormaid Version 1998)
Coldplay, Clocks (Royksopp Trembling Heart Remix)
The Shamen, Move Any Mountain
Mint Royale, Rock and Roll Bar
Lisa Lisa &amp; Cult Jam, Let the Beat Hit 'Em
Black Box, Strike It Up
Unknown DJ, Last Night Billie Jean Saved My Life
LCD Soundsystem, Tribulations (Lindstrom Mix)
Quantic, Atlantic Oscillations
Inner City, Big Fun
Lenlow, J-Lo vs K-Co vs S-Wo (2.0)
Smash, Bootysitition
Soulwax, Independent Working Women
Daft Punk, Daftendirekt
Blur, There's No Other Way
Dino, King Kong 5
The Breeders, Cannonball
Carly Rae Jepsen, Making the Most of the Night
マクロスMACROSS 82-99, Thank You
ABBA, Dancing Queen
Wisin, Vacaciones
Macklemore &amp; Ryan Lewis, Thrift Shop (feat. Wanz)
Falco, Rock Me Amadeus (The American Edit)
Peter Gabriel, I Have the Touch
T'Pau, Heart and Soul (Single Version)
Ofra Haza, Im Nin’Alu
Gary Numan &amp; Tubeway Army, Are 'Friends' Electric?
The Sugarcubes, Birthday
Cocteau Twins, Heaven or Las Vegas
A Tribe Called Quest &amp; Norman Cook, I Left My Wallet in El Segundo (Vampire Mix)
Hugh Masekela, Grazing In the Grass
Stephen Bishop, The Heart Is So Willing
Kim Carnes, Bette Davis Eyes
America, You Can Do Magic
The Doobie Brothers, It Keeps You Runnin'
MessyJames, No More Pressure (Annie Lennox vs Queen)
New Order, The Perfect Kiss (Substance Edit)
Chuck Mangione, Cannonball Run Theme
Bacao Rhythm &amp; Steel Band, P.I.M.P.
Billy Ocean, Get Outta My Dreams, Get Into My Car
John Parr, St. Elmo's Fire (Man In Motion)
Cyndi Lauper, The Goonies 'R' Good Enough
Karla DeVito, We Are Not Alone
The Call, I Still Believe (Great Design)
Bill Conti, Going the Distance
Cynthia Fee, The Golden Girls ("Thank You For Being A Friend")
Cass Elliot, Make Your Own Kind of Music (Single Version)
David Shaw and the Beat, Infected
Phish, Down With Disease
Jefferson Airplane, Volunteers
Sculpture Club, Black Coffee
Belle &amp; Sebastian, Dirty Dream Number Two
Tunde Adebimpe, Magnetic
Nilüfer Yanya, Keep On Dancing
Father John Misty, She Cleans Up
West Side Cowboy, Ive never met anyone i thought i could really love (until i met you)
Sebadoh, Ocean
That Dog., Never Say Never
Wrens, Faster Gun
Hüsker Dü, Sorry Somehow
Minutemen, History Lesson, Pt. 2
The New Pornographers, Sing Me Spanish Techno
Defiance, Ohio, The White Shore
AJJ, Dissonance
Michigander, Emotional
White Denim, Second Dimension
Pablo Cruise, Love Will Find a Way
Poco, Little Darlin'
Jackson Browne, Somebody's Baby
Unknown Mortal Orchestra, Everyone Acts Crazy Nowadays
Khruangbin, Hold Me Up (Thank You)
Department of Eagles, Family Romance
Chastity Belt, That Guy
Mk.gee, Rockman
Steve Winwood, Higher Love
Don Henley, The Last Worthless Evening
Arctic Monkeys, There’d Better Be A Mirrorball
Two Door Cinema Club, Changing of the Seasons
Madeon, Pay No Mind (feat. Passion Pit)
salute &amp; Jessie Ware, Heaven in Your Arms
Ben Folds Five, Army
Three Six Mafia, Playa Hataz
bless soundcloud, Busta Rhymes Goes to the Wii Shop Channel
Deftones, Be Quiet and Drive (Virtual Memory remix)
Burnt Skull, Sewer Birth
Astrometer, Quantum Divorce
Young Mountain, Cherry Knot
Chalk, Them
Another Heaven, Big Misery
IX of Swords, Fistfight
Pinky Lemon, Floodgate
Feeding Fingers, A Happy Lust for Alphabets
MX Lonely, Papercuts
Shon!, You and I (medic)
Raat, Dreams Alight
Buio Omega, Whole Lotta Buio
Bruised Core, Hark Back
Wretched Blessing, Psuedoascension
Beef, Hell or High Water
S.I. Istwa, In My Room
Rat Champion, Flame Princess
Trauma Glow, Ornaments
Chlorine, Feel
Polamine, Knees
Iress, Blush
White Flowers, You Caught Me
Nine Inch Nails, Into La Mer (The Primal Abuse mix)
Das Racist, Rainbow in the Dark
JAY-Z, A Dream (f. The Notorious B.I.G. &amp; Faith Evans)
Hollie Cook, Postman
10cc, Dreadlock Holiday
Destiny's Child, Survivor
Devin The Dude, What A Job (f. Snoop Dogg &amp; Andre 3000)
Teenage Fanclub &amp; De La Soul, Fallin'
Blur, Tender
King Gizzard &amp; The Lizard Wizard, Iron Lung
Laid Back, White Horse (U.S. Edit)
Hot Chip, One Life Stand
Warmduscher, Yolk Buns USA (Trashmouth Remix)
The Cure, A Few Hours After This...
Combustible Edison and Esquivel, Miniskirt
the dodos, This Is A Business
The Magnetic Fields, Two Characters In Search Of A Country Song
The Mountain Goats, Andrew Eldritch Is Moving Back To Leeds
The Beatles, Nowhere Man
Luna, California (All The Way)
Ponies In The Surf, Government Brand
Soltero, Communist Love Song
Neutral Milk Hotel, Holland, 1945
Hallelujah The Hills, Hallelujah The Hills (Fight Song)
The Breeders, Cannonball
Social Distortion, Sick Boys
R.E.M., Orange Crush
The Pogues, If I Should Fall from Grace With God
Fesliyan Studios, Destruction (2HMFRFH Sweeper)
The Andrews Sisters, Beer Barrel Polka (Roll Out The Barrel)
The Monkees, I'm a Believer
Deerhoof, God 2
Sugarcubes, Motorcrash
Mötley Crüe, Dr. Feelgood
Paul Clayton, Lilliburlero
The Pogues, Thousands Are Sailing
U2, Gloria
Pet Shop Boys, Where the Streets Have No Name (I Can't Keep My Eyes off You)
Al Martino, Spanish Eyes
Molly Johnson, Miss Celie's Blues
Monna Bell, Estaba escrito (Mambo moruno)
Molly Lewis, Island Spell
Alabaster DePlume, Turpentine
Oliver Coates, Prairie
Panda Bear, Ponytail
Paranthetical Girls, Keyholes and Curtains
Cass Elliot, Make Your Own Kind Of Music
The Icicle Works, Whisper to a Scream (Birds Fly)
Naked Eyes, Always Something There to Remind Me
Emmylou Harris, The Boxer
Pentangle, Light Flight
Monster Rally, Sister Owls
Gorillaz, 19-2000
Tunde Adebimpe, Magnetic
Love and Rockets, So Alive
Grace Ives, On The Ground
Echo &amp; the Bunnymen, Lips Like Sugar
Alan Moorhousex, That's Nice
Moses Sumney, In Bloom
Moondog, Wine, Women and Song
Labi Siffre, Love Song for Someone
Al Green, Sha-La-La (Make Me Happy)Orchestral
Curtis Mayfield, Superfly
Surprise Chef, Spiky Boi
Naomi Elizabeth, God Sent Me Here To Rock You
CHVCHES, Clearest Blue
Steely Dan, Black Friday
The Chills, The Oncoming Day (1987 Version)
Spouse, Marbles (Supraphon)
Marbles, Telescope
Balanescu Quartet, Model
Childish Gambino, Atavista
Childish Gambino, Algorhythm
Nick Ward, Control
Sky Ferreira, Leash
Class Actress, Love Me Like You Used To
Voice of the Beehive, Monsters and Angels
Yeah Yeah Yeahs &amp; Boy Harsher, Wolf (Boy Harsher Remix)
Leonard Nimoy, Music to Watch Space Girls By
Joe DeVito, Deny, Defend, Depose
54-40, Ocean Pearl
The Peddlers, On a Clear Day You Can See Forever
Kim Deal, Crystal Breath
Depeche Mode, Never Let Me Down Again
The Beta Band, Inner Meet Me
Belle &amp; Sebastian, Everything Is Now [Instrumental]
Beeef, I Wish It Was Christmas Today
The Magnetic Fields, Everything Is One Big Christmas Tree
Tom Lehrer, A Christmas Carol
Perry Como &amp; The Fontane Sisters, It's Beginning to Look a Lot Like Christmas
Bing Crosby, Christmas In Killarney
The Blarney Lads, Muirsheen Durkin
Jonathan Coulton &amp; John Roderick, 2600
Pas/Cal, Little Red Radio
Iced Shank, Yule Log
Kibble, Warm Fireplace
Grace Jones, The Little Drummer Boy
The Dream Academy, Please Please Please Let Me Get What I Want (Instrumental)
Lindsey Buckingham, Holiday Road
The Beach Boys, Little Saint Nick
The Kinks, Father Christmas
Future Teens, Regift my Heart
They Might Be Giants, Santa's Beard
Bob &amp; Doug McKenzie, The Twelve Days of Christmas
"Weird Al" Yankovic, Christmas At Ground Zero
The Waitresses, Christmas Wrapping
Jerry Goldsmith, The Gremlin Rag (Full Version)
Abbie Barrett, Christmas Star
David Bowie, Starman
Wham!, Last Christmas
Jackie DeShannon, Put A Little Love In Your Heart
Howard Huntsberry, (Your Love Keeps Lifting Me) Higher And Higher
South Park, What Would Brian Boitano Do
Elmer Bernstein, Jamaican Bye Bye
José Feliciano, Feliz Navidad
Bing Crosby &amp; The Andrews Sisters, Mele Kalikimaka
Steve Miller Band, Fly Like an Eagle
Steely Dan, Aja
Tyga, Bops Goin Brazy
Nas, Never Die (feat. Lil Wayne)
Eric B. &amp; Rakim, Musical Massacre
!!!, There's No Fucking Rules, Dude
YACHT, Psychic City (Voodoo City)
Beastie Boys, Time To Get Ill
A Tribe Called Quest, Can I Kick It (Spirit Mix)
Land Of The Loops, Fresh Pond Parkway [No Outro]
Liz Phair, Explain It To Me
Harry Nilsson and George Tipton, Everybody's Talkin' (From "Midnight Cowboy")
10cc, I'm Not in Love
Depeche Mode, Stripped
Roy Orbison, In Dreams
Men At Work, Overkill
The Rolling Stones, Miss You
Ted Leo, Since U Been Gone/Maps
The Cars, You Might Think
De La Soul, Buddy (feat. Jungle Brothers, Q-Tip &amp; Phife)
Danny Elfman, Ice Dance
The Spinanes, Winter on Ice
Thomas Abban, Winter
David Byrne, St. Vincent, Ice Age
The Cure, Cold
Arcade Fire, Neighborhood #1 (Tunnels)
DEVO, Snowball
Of Montreal, A sentence Of Sorts In Kongsvinger
Lullatone, An Ode to Eaten Snowflakes
Joni Mitchell, Urge for Going
Kid Dakota, 10,000 Lakes
The Replacements, Skyway
The Mamas &amp; The Papas, California Dreaming
Okkervil River, Song Of Our So-Called Friend
Björk, Aurora
Neko Case, Ragtime
Leonard Cohen, Famous Blue Raincoat
Klaus Nomi, The Cold Song
Handspan, Liht Mec Heht Gewyrcan
George Winston, The Holly and The Ivy
Tori Amos, Winter
Kate Bush, Under Ice
ANHONI, 4 Degrees
Janis Ian, In the Winter
Nick Cave &amp; The Bad Seeds, Fifteen Feet of Pure White Snow
Bon Iver, Lump Sum
Cadallaca, Winter Storm '98
Jens Lekman, The Cold Swedish Winter
Phoebe Bridgers, If We Make It Through December
Simon and Garfunkel, I Am A Rock
Roma Di Luna, Red Walls
Mayyadda, Winter Wonderland
Pink Floyd, Obscured By Clouds
The Cult, The Witch (Edit)
Sonic Youth, My Friend Goo
Rob Zombie, Living Dead Girl
The Atlantics, Lonelyhearts
R.E.M., Underneath The Bunker (Instrumental Loop)
They Might Be Giants, We Want A Rock
Belle &amp; Sebastian, The Girl Doesn't Get It
ABBA, Does Your Mother Know
Walter Egan, Magnet &amp; Steel
John Lennon, The Plastic Ono Band &amp; Yoko Ono, Instant Karma! (We All Shine On)
Cheap Trick, Dream Police
Sniff 'n' The Tears, Driver's Seat
The Magnetic Fields, Kiss Me Like You Mean It
The Cure, In Between Days
XTC, The Ballad of Peter Pumpkinhead
Timbuk 3, The Future's So Bright, I Gotta Wear Shades
Tim Heidecker, Work from Home
Babybird, Atomic Soda
First Aid Kit, Stay Gold
Sleigh Bells, I'm Not Down
Space Art, Onyx
The Avalanches, Music Makes Me High
Front Line Assembly, Mindphazer (Single Mix)
The Mighty Mighty Bosstones, He's Back
Beastie Boys, Sneakin' Out the Hospital
